w1_image,w2_image,example_compound,total_rows
stimuli/concept_imgs/cat.png,stimuli/concept_imgs/couple.png, ,7
stimuli/concept_imgs/shower.png,stimuli/concept_imgs/bacteria.png, ,7
stimuli/concept_imgs/shower.png,stimuli/concept_imgs/couple.png, ,7
stimuli/concept_imgs/box.png,stimuli/concept_imgs/shower.png, ,7
stimuli/concept_imgs/couple.png,stimuli/concept_imgs/box.png, ,7
stimuli/concept_imgs/shower.png,stimuli/concept_imgs/noodle.png, ,7
stimuli/concept_imgs/shower.png,stimuli/concept_imgs/noodle.png, ,7
